symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume
ITMG,2021-01-20 0:00:00,13650.0,13650.0,13150.0,13200.0,2595600.0,13650.0,13650.0,13150.0,13200.0,2595600.0
ITMG,2021-01-21 0:00:00,13550.0,13900.0,13450.0,13800.0,1815600.0,13550.0,13900.0,13450.0,13800.0,1815600.0
ITMG,2021-01-22 0:00:00,13050.0,13550.0,13000.0,13550.0,3321700.0,13050.0,13550.0,13000.0,13550.0,3321700.0
ITMG,2021-01-25 0:00:00,12650.0,13050.0,12500.0,13050.0,3686400.0,12650.0,13050.0,12500.0,13050.0,3686400.0
ITMG,2021-01-26 0:00:00,12425.0,13050.0,12075.0,12650.0,4250500.0,12425.0,13050.0,12075.0,12650.0,4250500.0
ITMG,2021-01-27 0:00:00,11900.0,12675.0,11725.0,12475.0,7559300.0,11900.0,12675.0,11725.0,12475.0,7559300.0
ITMG,2021-01-28 0:00:00,11850.0,12425.0,11600.0,11700.0,7450000.0,11850.0,12425.0,11600.0,11700.0,7450000.0
ITMG,2021-01-29 0:00:00,12250.0,12350.0,11800.0,12100.0,5322300.0,12250.0,12350.0,11800.0,12100.0,5322300.0
ITMG,2021-02-01 0:00:00,12475.0,12475.0,11850.0,12100.0,3831300.0,12475.0,12475.0,11850.0,12100.0,3831300.0
ITMG,2021-02-02 0:00:00,12075.0,12525.0,11975.0,12450.0,4453300.0,12075.0,12525.0,11975.0,12450.0,4453300.0
ITMG,2021-02-03 0:00:00,11675.0,12050.0,11525.0,12050.0,5696900.0,11675.0,12050.0,11525.0,12050.0,5696900.0
ITMG,2021-02-04 0:00:00,12125.0,12200.0,11600.0,11650.0,5801600.0,12125.0,12200.0,11600.0,11650.0,5801600.0
ITMG,2021-02-05 0:00:00,12600.0,12800.0,12250.0,12300.0,4704800.0,12600.0,12800.0,12250.0,12300.0,4704800.0
ITMG,2021-02-08 0:00:00,12725.0,13100.0,12650.0,13000.0,2670300.0,12725.0,13100.0,12650.0,13000.0,2670300.0
ITMG,2021-02-09 0:00:00,12575.0,12950.0,12300.0,12850.0,2971200.0,12575.0,12950.0,12300.0,12850.0,2971200.0
ITMG,2021-02-10 0:00:00,12500.0,12675.0,12275.0,12575.0,1601300.0,12500.0,12675.0,12275.0,12575.0,1601300.0
ITMG,2021-02-11 0:00:00,12950.0,13000.0,12325.0,12500.0,2517600.0,12950.0,13000.0,12325.0,12500.0,2517600.0
ITMG,2021-02-15 0:00:00,12750.0,13250.0,12750.0,13000.0,3191200.0,12750.0,13250.0,12750.0,13000.0,3191200.0
ITMG,2021-02-16 0:00:00,12675.0,12875.0,12550.0,12750.0,1667600.0,12675.0,12875.0,12550.0,12750.0,1667600.0
ITMG,2021-02-17 0:00:00,12350.0,12725.0,12275.0,12675.0,1388700.0,12350.0,12725.0,12275.0,12675.0,1388700.0
ITMG,2021-02-18 0:00:00,12150.0,12550.0,12100.0,12550.0,1990900.0,12150.0,12550.0,12100.0,12550.0,1990900.0
ITMG,2021-02-19 0:00:00,12200.0,12200.0,11975.0,12150.0,1401100.0,12200.0,12200.0,11975.0,12150.0,1401100.0
ITMG,2021-02-22 0:00:00,12775.0,12800.0,12200.0,12225.0,3342100.0,12775.0,12800.0,12200.0,12225.0,3342100.0
ITMG,2021-02-23 0:00:00,12275.0,12800.0,12225.0,12775.0,3169200.0,12275.0,12800.0,12225.0,12775.0,3169200.0
ITMG,2021-02-24 0:00:00,12125.0,12300.0,12100.0,12275.0,1902800.0,12125.0,12300.0,12100.0,12275.0,1902800.0
ITMG,2021-02-25 0:00:00,12100.0,12400.0,12100.0,12225.0,1985800.0,12100.0,12400.0,12100.0,12225.0,1985800.0
ITMG,2021-02-26 0:00:00,12200.0,12250.0,11850.0,12000.0,2693000.0,12200.0,12250.0,11850.0,12000.0,2693000.0
ITMG,2021-03-01 0:00:00,12050.0,12300.0,12025.0,12200.0,1775600.0,12050.0,12300.0,12025.0,12200.0,1775600.0
ITMG,2021-03-02 0:00:00,12000.0,12325.0,11950.0,12250.0,3451000.0,12000.0,12325.0,11950.0,12250.0,3451000.0
ITMG,2021-03-03 0:00:00,11925.0,12175.0,11925.0,12175.0,1639700.0,11925.0,12175.0,11925.0,12175.0,1639700.0
ITMG,2021-03-04 0:00:00,11900.0,12100.0,11800.0,11900.0,3199200.0,11900.0,12100.0,11800.0,11900.0,3199200.0
ITMG,2021-03-05 0:00:00,11675.0,11950.0,11650.0,11850.0,2568600.0,11675.0,11950.0,11650.0,11850.0,2568600.0
ITMG,2021-03-08 0:00:00,11650.0,11875.0,11600.0,11825.0,2089700.0,11650.0,11875.0,11600.0,11825.0,2089700.0
ITMG,2021-03-09 0:00:00,11450.0,11850.0,11450.0,11775.0,3188100.0,11450.0,11850.0,11450.0,11775.0,3188100.0
ITMG,2021-03-10 0:00:00,11425.0,11650.0,11425.0,11450.0,1308800.0,11425.0,11650.0,11425.0,11450.0,1308800.0
ITMG,2021-03-12 0:00:00,11550.0,11825.0,11450.0,11475.0,2865700.0,11550.0,11825.0,11450.0,11475.0,2865700.0
ITMG,2021-03-15 0:00:00,11825.0,11975.0,11450.0,11650.0,3275900.0,11825.0,11975.0,11450.0,11650.0,3275900.0
ITMG,2021-03-16 0:00:00,11875.0,12000.0,11750.0,11875.0,1887100.0,11875.0,12000.0,11750.0,11875.0,1887100.0
ITMG,2021-03-17 0:00:00,11725.0,11925.0,11675.0,11900.0,1047800.0,11725.0,11925.0,11675.0,11900.0,1047800.0
ITMG,2021-03-18 0:00:00,12275.0,12375.0,11850.0,11900.0,4792500.0,12275.0,12375.0,11850.0,11900.0,4792500.0
ITMG,2021-03-19 0:00:00,12375.0,12475.0,12025.0,12275.0,3925100.0,12375.0,12475.0,12025.0,12275.0,3925100.0
ITMG,2021-03-22 0:00:00,12450.0,12825.0,12400.0,12625.0,4428700.0,12450.0,12825.0,12400.0,12625.0,4428700.0
ITMG,2021-03-23 0:00:00,12650.0,13200.0,12500.0,12750.0,5376300.0,12650.0,13200.0,12500.0,12750.0,5376300.0
ITMG,2021-03-24 0:00:00,12075.0,12550.0,12025.0,12500.0,2994000.0,12075.0,12550.0,12025.0,12500.0,2994000.0
ITMG,2021-03-25 0:00:00,11950.0,12175.0,11825.0,12025.0,2311000.0,11950.0,12175.0,11825.0,12025.0,2311000.0
ITMG,2021-03-26 0:00:00,12200.0,12225.0,11900.0,12050.0,1605700.0,12200.0,12225.0,11900.0,12050.0,1605700.0
ITMG,2021-03-29 0:00:00,12175.0,12325.0,12075.0,12300.0,1129600.0,12175.0,12325.0,12075.0,12300.0,1129600.0
ITMG,2021-03-30 0:00:00,11850.0,12150.0,11825.0,12150.0,1233900.0,11850.0,12150.0,11825.0,12150.0,1233900.0
ITMG,2021-03-31 0:00:00,11425.0,11925.0,11425.0,11925.0,2868100.0,11425.0,11925.0,11425.0,11925.0,2868100.0
ITMG,2021-04-01 0:00:00,11700.0,11850.0,11475.0,11500.0,1623400.0,11700.0,11850.0,11475.0,11500.0,1623400.0
ITMG,2021-04-05 0:00:00,12700.0,12700.0,11775.0,11800.0,6388900.0,12700.0,12700.0,11775.0,11800.0,6388900.0
ITMG,2021-04-06 0:00:00,12575.0,12725.0,12300.0,12700.0,3102900.0,12575.0,12725.0,12300.0,12700.0,3102900.0
ITMG,2021-04-07 0:00:00,12600.0,12625.0,12225.0,12300.0,1677200.0,12600.0,12625.0,12225.0,12300.0,1677200.0
ITMG,2021-04-08 0:00:00,12575.0,12675.0,12400.0,12600.0,1409300.0,12575.0,12675.0,12400.0,12600.0,1409300.0
ITMG,2021-04-09 0:00:00,12375.0,12625.0,12325.0,12550.0,1498200.0,12375.0,12625.0,12325.0,12550.0,1498200.0
ITMG,2021-04-12 0:00:00,11900.0,12500.0,11875.0,12375.0,1797700.0,11900.0,12500.0,11875.0,12375.0,1797700.0
ITMG,2021-04-13 0:00:00,11700.0,12075.0,11700.0,11875.0,2755200.0,11700.0,12075.0,11700.0,11875.0,2755200.0
ITMG,2021-04-14 0:00:00,12075.0,12125.0,11800.0,11800.0,1106400.0,12075.0,12125.0,11800.0,11800.0,1106400.0
ITMG,2021-04-15 0:00:00,11925.0,12200.0,11800.0,12200.0,1497500.0,11925.0,12200.0,11800.0,12200.0,1497500.0
ITMG,2021-04-16 0:00:00,11925.0,11975.0,11700.0,11950.0,904300.0,11925.0,11975.0,11700.0,11950.0,904300.0
ITMG,2021-04-19 0:00:00,12600.0,12875.0,11900.0,11950.0,5021800.0,12600.0,12875.0,11900.0,11950.0,5021800.0
ITMG,2021-04-20 0:00:00,12250.0,12625.0,12125.0,12600.0,1077900.0,12250.0,12625.0,12125.0,12600.0,1077900.0
ITMG,2021-04-21 0:00:00,12150.0,12200.0,12050.0,12075.0,696800.0,12150.0,12200.0,12050.0,12075.0,696800.0
ITMG,2021-04-22 0:00:00,12075.0,12225.0,11950.0,12150.0,743900.0,12075.0,12225.0,11950.0,12150.0,743900.0
ITMG,2021-04-23 0:00:00,12075.0,12175.0,11900.0,11900.0,750500.0,12075.0,12175.0,11900.0,11900.0,750500.0
ITMG,2021-04-26 0:00:00,11850.0,12075.0,11800.0,12075.0,1050100.0,11850.0,12075.0,11800.0,12075.0,1050100.0
ITMG,2021-04-27 0:00:00,11775.0,11975.0,11700.0,11850.0,706800.0,11775.0,11975.0,11700.0,11850.0,706800.0
ITMG,2021-04-28 0:00:00,11900.0,11950.0,11775.0,11775.0,434100.0,11900.0,11950.0,11775.0,11775.0,434100.0
ITMG,2021-04-29 0:00:00,12000.0,12175.0,11925.0,11950.0,1584500.0,12000.0,12175.0,11925.0,11950.0,1584500.0
ITMG,2021-04-30 0:00:00,11875.0,12050.0,11775.0,12050.0,1903400.0,11875.0,12050.0,11775.0,12050.0,1903400.0
